"Timestamp","Happy for your anonymous answers to be used in a student case study?","How often do you buy clothes on Myntra?","How many items are in it right now?","In the last 30 days, how many times did you open your wishlist?","In the last 30 days, did you buy anything from your wishlist?","Why did you save that item rather than buy it?","What's the single biggest thing stopping you from buying that item?","Did you try to find that out? Tick everywhere you looked.","What would you need to know to decide on that item today - buy it, or delete it?","The last time you removed something from your wishlist without buying it, why?","When two or three saved items are close alternatives, what usually happens?","Across your whole wishlist, which of these are true of at least one item?","Age","Which city?"
"2026/08/20 2:58:47 PM GMT+5:30","Yes","Never - I don't shop on Myntra","","","","","","","","","","","",""
"2026/08/20 4:56:55 PM GMT+5:30","Yes","A few times a month","I don't have a wishlist","","","","","","","","","","25-32","Khammam "
"2026/08/20 6:02:04 PM GMT+5:30","Yes","A few times a year","16-30","2-3 times","No","I was waiting for the price to drop, or for a sale","I'm waiting for a sale","I tried, and still couldn't find out","Reviews ","I found something better, here or elsewhere","I go back and forth and end up buying none of them","I'm not sure it'll look like the photos;I'm waiting for the price to drop","25-32",""
"2026/08/20 10:56:45 PM GMT+5:30","Yes","A few times a year","More than 30","Once","No","I was waiting for the price to drop, or for a sale","Costs more than I want to spend right now","The size chart on the product page;The ratings / fit feedback on the listing","Price ","I've never removed anything without buying it","This doesn't really happen to me","I'm not sure about the fabric or quality;I'm not sure it'll suit me or my body type;I'm waiting for the price to drop","25-32","Bengaluru "
"2026/08/21 4:17:00 PM GMT+5:30","Yes","A few times a year","16-30","Not once","I don't remember","I was waiting for the price to drop, or for a sale","Costs more than I want to spend right now","I didn't try","Urgent need,price drop or not","I no longer needed it","I pick one fairly quickly","I'm not sure it'll fit me","25-32",""
"2026/08/23 7:23:36 PM GMT+5:30","Yes","Every month or two","6-15","2-3 times","Yes, more than one","I was waiting for the price to drop, or for a sale","I'm waiting for a sale","The reviews or customer photos;The ratings / fit feedback on the listing;Searched YouTube or Instagram for it;Planned to order two sizes and return one","if i get a notification of price drop","The price never came down enough","I go back and forth for a while, then buy one","I'm not sure about the fabric or quality;I'm not sure it'll look like the photos;I don't fully trust the seller or brand","18-24",""
"2026/08/24 7:15:16 PM GMT+5:30","Yes","A few times a year","1-5","Not once","No","I was waiting for the price to drop, or for a sale","I'm waiting for a sale","Checked the brand's own site, or another app","Fine","I no longer needed it","I go back and forth for a while, then buy one","I don't fully trust the seller or brand","25-32","Bangalore"
"2026/08/24 7:33:48 PM GMT+5:30","Yes","A few times a year","1-5","Not once","No","I honestly don't remember","I'd forgotten about it until now","I didn't try","My need of having that item, if I dont need it today I will not buy it","I no longer needed it","I pick one fairly quickly","I'm not sure about the fabric or quality;I'm not sure it'll look like the photos;I'm not sure it'll suit me or my body type","25-32","Raipur,Chhattisgarh"
"2026/08/25 4:42:50 PM GMT+5:30","Yes","Every month or two","1-5","Not once","No","I was saving it for an occasion coming up","Can't decide between this and something else","The reviews or customer photos;The ratings / fit feedback on the listing;Planned to order two sizes and return one;I tried, and still couldn't find out","Easy returns low prices and good options for every occasion","I changed my mind about wanting it","I go looking for more options instead of choosing","I'm waiting for the price to drop;I'm saving it for an occasion","25-32","Bangalore"
"2026/08/25 10:39:34 PM GMT+5:30","Yes","Every month or two","1-5","Not once","No","I was waiting for the price to drop, or for a sale","I'm waiting for a sale","The size chart on the product page;The reviews or customer photos","When is the sale ","The price never came down enough","I pick one fairly quickly","I'm waiting for the price to drop","33-40","Mumbai "
"2026/08/28 7:35:49 PM GMT+5:30","Yes","A few times a year","16-30","Not once","No","I was waiting for the price to drop, or for a sale","Not sure about the fabric or quality","I didn't try;The reviews or customer photos","Price ","It went out of stock, or my size did","I go back and forth for a while, then buy one","I'm not sure about the fabric or quality;I'm not sure it'll look like the photos","18-24","Bangalore "
"2026/08/29 4:16:24 PM GMT+5:30","Yes","A few times a year","More than 30","4-10 times","No","I wanted it, but wasn't sure about something (size, fabric, whether it'd suit me)","Not sure it'll suit me or my body type","The reviews or customer photos;The ratings / fit feedback on the listing;Searched YouTube or Instagram for it","How it would look on me","I've never removed anything without buying it","I go looking for more options instead of choosing","I'm not sure it'll fit me;I'm not sure about the fabric or quality;I'm not sure it'll suit me or my body type","25-32","Bangalore"
"2026/08/29 11:52:20 PM GMT+5:30","Yes","A few times a year","1-5","Once","No","I was saving it for an occasion coming up","Returning it would be a hassle if it's wrong","The reviews or customer photos","The quality of the product from the real customers. ","I found something better, here or elsewhere","This doesn't really happen to me","I'm not sure about the fabric or quality;I don't fully trust the seller or brand","25-32","Tier 1 "
